10-13-13:31:50:079  : 相机 Send: System.Byte[]，成功
10-13-13:31:50:079  : 相机 Received: 67 67 68 49 44 48 46 51 51 56 44 52 51 46 57 48 54
10-13-13:35:02:611  : 相机 Received: 84 50 59 51 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:35:12:633  : 相机 Send: System.Byte[]，成功
10-13-13:35:22:649  : 相机 Send: System.Byte[]，成功
10-13-13:35:32:700  : 相机 Received: 67 67 68 49 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57
10-13-13:35:32:700  : 相机 Send: System.Byte[]，成功
10-13-13:46:48:006  : 相机 Send: System.Byte[]，成功
10-13-13:47:04:445  : 相机 Send: System.Byte[]，成功
10-13-13:50:07:991  : 相机 Send: System.Byte[]，成功
10-13-13:50:18:003  : 相机 Received: 84 50 59 52 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-13:50:28:030  : 相机 Send: System.Byte[]，成功
10-13-13:50:38:103  : 相机 Send: System.Byte[]，成功
10-13-13:59:27:127  : 相机 Send: System.Byte[]，成功
10-13-13:59:37:117  : 相机 Send: System.Byte[]，成功
10-13-13:59:47:118  : 相机 Send: System.Byte[]，成功
10-13-13:59:57:166  : 相机 Received: 67 67 68 49 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57 44 57 57 57
10-13-13:59:57:167  : 相机 Send: System.Byte[]，成功
10-13-14:03:20:689  : 相机 Send: System.Byte[]，成功
10-13-14:03:30:702  : 相机 Send: System.Byte[]，成功
10-13-14:03:40:706  : 相机 Received: 84 50 59 53 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:03:40:706  : 相机 Send: System.Byte[]，成功
10-13-14:03:50:763  : 相机 Received: 67 67 68 49 44 51 46 50 54 54 44 51 46 52 48 53 44 48 46 48 51 51 44 48 46 51 55 54 44 51 46 52 53 50 44 51 46 53 48 49 44 48 46 48 55 54 44 48 46 50 55 51 44 51 46 52 57 49 44 51 46 50 48 52 44 48 46 50 48 53 44 48 46 48 48 51 44 51 46 51 50 55 44 51 46 52 49 50 44 48 46 48 50 56 44 48 46 52 48 55 44 50 46 48 49 54 44 49 46 53
10-13-14:03:50:764  : 相机 Send: System.Byte[]，成功
10-13-14:10:19:353  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:10:19:353  : 相机 Send: System.Byte[]，成功
10-13-14:10:35:812  : 相机 Received: 67 67 68 49 44 48 46 51 48 54 44 52 51 46 57 55 54
10-13-14:10:35:812  : 相机 Send: System.Byte[]，成功
10-13-14:13:21:843  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:13:21:843  : 相机 Send: System.Byte[]，成功
10-13-14:13:38:288  : 相机 Send: System.Byte[]，成功
10-13-14:13:38:288  : 相机 Received: 67 67 68 49 44 48 46 51 48 49 44 52 51 46 57 54 51
10-13-14:16:52:551  : 相机 Received: 84 50 59 51 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:17:02:554  : 相机 Send: System.Byte[]，成功
10-13-14:17:12:573  : 相机 Received: 84 50 59 53 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:17:12:573  : 相机 Send: System.Byte[]，成功
10-13-14:17:22:624  : 相机 Send: System.Byte[]，成功
10-13-14:26:31:352  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:26:47:796  : 相机 Send: System.Byte[]，成功
10-13-14:26:47:796  : 相机 Received: 67 67 68 49 44 48 46 50 56 44 52 51 46 55 57 55
10-13-14:29:51:327  : 相机 Received: 84 50 59 51 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:29:51:327  : 相机 Send: System.Byte[]，成功
10-13-14:30:01:340  : 相机 Received: 84 50 59 52 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-14:30:11:341  : 相机 Send: System.Byte[]，成功
10-13-14:30:21:400  : 相机 Received: 67 67 68 49 44 51 46 51 50 52 44 51 46 52 48 52 44 48 46 48 51 51 44 48 46 51 55 54 44 51 46 52 50 55 44 51 46 54 50 51 44 48 46 48 55 54 44 48 46 50 55 51 44 51 46 52 53 51 44 51 46 50 51 44 48 46 50 48 53 44 48 46 48 48 51 44 51 46 51 49 56 44 51 46 52 57 54 44 48 46 48 50 56 44 48 46 52 48 55 44 49 46 55 55 54 44 49 46 48 55 54
10-13-14:30:21:400  : 相机 Send: System.Byte[]，成功
10-13-15:25:24:469  : 相机 Send: System.Byte[]，成功
10-13-15:25:40:922  : 相机 Send: System.Byte[]，成功
10-13-15:25:40:922  : 相机 Received: 67 67 68 49 44 48 46 50 55 52 44 52 51 46 55
10-13-15:36:03:808  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-15:36:03:808  : 相机 Send: System.Byte[]，成功
10-13-15:36:20:278  : 相机 Received: 67 67 68 49 44 48 46 51 54 51 44 52 51 46 56 53 56
10-13-15:36:20:278  : 相机 Send: System.Byte[]，成功
10-13-15:39:12:654  : 相机 Send: System.Byte[]，成功
10-13-15:39:29:125  : 相机 Received: 67 67 68 49 44 48 46 51 49 44 52 51 46 55 54 52
10-13-15:39:29:126  : 相机 Send: System.Byte[]，成功
10-13-15:42:24:356  : 相机 Received: 84 50 59 51 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-15:42:34:378  : 相机 Received: 84 50 59 52 44 49 50 55 46 48 46 48 46 49 58 53 48 53 53 52
10-13-15:42:44:391  : 相机 Send: System.Byte[]，成功
10-13-15:42:54:438  : 相机 Received: 67 67 68 49 44 51 46 50 52 53 44 51 46 50 56 56 44 48 46 48 51 51 44 48 46 51 55 54 44 51 46 51 52 51 44 51 46 52 53 56 44 48 46 48 55 54 44 48 46 50 55 51 44 51 46 51 54 50 44 51 46 50 52 53 44 48 46 50 48 53 44 48 46 48 48 51 44 51 46 51 53 49 44 51 46 53 48 56 44 48 46 48 50 56 44 48 46 52 48 55 44 51 46 56 56 49 44 49 46 50 49 52
10-13-15:42:54:438  : 相机 Send: System.Byte[]，成功
10-13-20:12:03:083  : 相机 Send: System.Byte[]，成功
10-13-20:12:03:083  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 54 50 53 51 48
10-13-20:15:20:599  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 54 50 53 51 48
10-13-20:17:52:786  : 相机 Send: System.Byte[]，成功
10-13-20:27:32:007  : 相机 Send: System.Byte[]，成功
10-13-20:27:32:007  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 54 50 56 50 50
10-13-20:27:48:462  : 相机 Send: System.Byte[]，成功
10-13-20:29:22:430  : 相机 Received: 67 67 68 49 44 50 46 48 57 51 44 50 46 49 55 54 44 51 46 48 53 53 44 51 46 48 52 44 45 49 51 46 50 54 51 44 50 46 49 51 52
10-13-20:29:22:430  : 相机 Send: System.Byte[]，成功
10-13-20:40:17:375  : 相机 Send: System.Byte[]，成功
10-13-20:40:17:376  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 50 53 49 55
10-13-20:40:33:842  : 相机 Received: 67 67 68 49 44 48 46 50 54 56 44 52 51 46 56 52 52 44 49 46 57 48 53 44 50 46 48 55 44 45 56 46 55 57 50 44 49 46 57 56 55
10-13-20:40:33:842  : 相机 Send: System.Byte[]，成功
10-13-20:42:33:525  : 相机 Received: 67 67 68 49 44 50 46 48 55 51 44 50 46 49 52 54 44 51 46 48 51 50 44 51 46 48 53 56 44 45 49 51 46 48 52 54 44 50 46 49 49
10-13-20:42:33:525  : 相机 Send: System.Byte[]，成功
10-13-20:51:52:873  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 50 53 49 55
10-13-20:52:09:332  : 相机 Send: System.Byte[]，成功
10-13-20:53:19:452  : 相机 Received: 67 67 68 49 44 50 46 48 54 55 44 50 46 49 55 49 44 51 46 48 51 57 44 51 46 48 51 50 44 45 49 50 46 56 52 57 44 50 46 49 49 57
10-13-20:53:19:452  : 相机 Send: System.Byte[]，成功
10-13-20:57:51:677  : 相机 Send: System.Byte[]，成功
10-13-20:58:08:118  : 相机 Send: System.Byte[]，成功
10-13-20:59:09:279  : 相机 Received: 67 67 68 49 44 50 46 48 52 44 50 46 49 53 54 44 51 46 48 49 50 44 51 46 48 55 54 44 45 49 50 46 55 48 56 44 50 46 48 57 56
10-13-20:59:09:281  : 相机 Send: System.Byte[]，成功
10-13-21:04:46:179  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 50 53 49 55
10-13-21:05:02:625  : 相机 Received: 67 67 68 49 44 48 46 50 50 51 44 52 52 46 48 48 54 44 49 46 56 54 56 44 50 46 48 50 56 44 45 56 46 50 51 57 44 49 46 57 52 56
10-13-21:05:02:625  : 相机 Send: System.Byte[]，成功
10-13-21:06:17:565  : 相机 Received: 67 67 68 49 44 50 46 48 51 53 44 50 46 49 52 52 44 51 46 48 52 56 44 51 46 48 51 53 44 45 49 50 46 54 56 54 44 50 46 48 57
10-13-21:06:17:565  : 相机 Send: System.Byte[]，成功
10-13-21:17:14:264  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 50 53 49 55
10-13-21:17:30:727  : 相机 Send: System.Byte[]，成功
10-13-21:19:18:665  : 相机 Received: 67 67 68 49 44 50 46 49 48 57 44 50 46 49 56 55 44 51 46 48 51 54 44 51 46 48 53 54 44 45 49 51 46 48 53 49 44 50 46 49 52 56
10-13-21:19:18:667  : 相机 Send: System.Byte[]，成功
10-13-21:23:52:480  : 相机 Send: System.Byte[]，成功
10-13-21:24:08:958  : 相机 Send: System.Byte[]，成功
10-13-21:24:08:958  : 相机 Received: 67 67 68 49 44 48 46 51 53 52 44 52 51 46 55 52 44 50 46 48 52 51 44 50 46 49 50 49 44 45 56 46 54 57 44 50 46 48 56 50
10-13-21:25:12:844  : 相机 Received: 67 67 68 49 44 50 46 50 48 51 44 50 46 50 52 54 44 51 46 48 49 57 44 51 46 48 54 44 45 49 50 46 51 55 50 44 50 46 50 50 52
10-13-21:25:12:844  : 相机 Send: System.Byte[]，成功
10-13-21:30:53:099  : 相机 Send: System.Byte[]，成功
10-13-21:31:09:575  : 相机 Send: System.Byte[]，成功
10-13-21:32:21:129  : 相机 Received: 67 67 68 49 44 50 46 49 51 53 44 50 46 50 48 55 44 51 46 48 51 52 44 51 46 48 53 55 44 45 49 51 46 54 49 57 44 50 46 49 55 49
10-13-21:32:21:129  : 相机 Send: System.Byte[]，成功
10-13-21:36:29:387  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 50 53 49 55
10-13-21:36:45:849  : 相机 Received: 67 67 68 49 44 48 46 51 48 57 44 52 51 46 55 56 56 44 49 46 57 51 57 44 50 46 49 51 50 44 45 56 46 53 49 51 44 50 46 48 51 53
10-13-21:37:55:644  : 相机 Send: System.Byte[]，成功
10-13-21:41:55:658  : 相机 Send: System.Byte[]，成功
10-13-21:42:12:130  : 相机 Send: System.Byte[]，成功
10-13-21:43:11:810  : 相机 Received: 67 67 68 49 44 50 46 49 49 54 44 50 46 49 56 56 44 51 46 48 52 52 44 51 46 48 53 56 44 45 49 50 46 56 54 52 44 50 46 49 53 50
10-13-21:43:11:811  : 相机 Send: System.Byte[]，成功
10-13-21:48:35:408  : 相机 Received: 84 49 59 49 44 49 50 55 46 48 46 48 46 49 58 50 53 49 55
10-13-21:48:35:408  : 相机 Send: System.Byte[]，成功
10-13-21:48:51:871  : 相机 Received: 67 67 68 49 44 48 46 51 51 50 44 52 51 46 54 57 51 44 49 46 57 56 54 44 50 46 49 50 57 44 45 56 46 55 54 52 44 50 46 48 53 55
10-13-21:49:49:894  : 相机 Received: 67 67 68 49 44 49 46 57 50 54 44 50 46 49 50 50 44 51 46 48 51 57 44 51 46 48 54 54 44 45 49 51 46 50 51 44 50 46 48 50 51
10-13-21:49:49:894  : 相机 Send: System.Byte[]，成功
